origin	dest	capacity	length	fft	alpha	beta	speedLimit	LineNo	X
4	5	17782.7941	2	2.4	0.15	4	0	1	NA
4	11	4908.82673	6	7.2	0.15	4	0	1	NA
5	4	17782.7941	2	2.4	0.15	4	0	1	NA
5	6	4947.995469	4	4.8	0.15	4	0	1	NA
6	5	4947.995469	4	4.8	0.15	4	0	1	NA
6	8	4898.587646	2	1.6	0.15	4	0	1	NA
8	6	4898.587646	2	1.6	0.15	4	0	1	NA
8	9	5050.193156	10	8	0.15	4	0	1	NA
8	16	5045.822583	5	4	0.15	4	0	2	NA
9	8	5050.193156	10	8	0.15	4	0	1	NA
9	10	13915.78842	3	2.4	0.15	4	0	1	NA
10	9	13915.78842	3	2.4	0.15	4	0	1	NA
10	15	13512.00155	6	7.2	0.15	4	0	3	NA
11	4	4908.82673	6	7.2	0.15	4	0	1	NA
11	12	4908.82673	6	7.2	0.15	4	0	1	8.64
12	11	4908.82673	6	7.2	0.15	4	0	1	NA
14	15	5127.526119	5	6	0.15	4	0	2	NA
14	23	4924.790605	4	4.8	0.15	4	0	2	NA
15	10	13512.00155	6	7.2	0.15	4	0	3	NA
15	14	5127.526119	5	6	0.15	4	0	2	NA
15	19	14564.75315	3	3.6	0.15	4	0	2	NA
15	22	9599.180565	3	3.6	0.15	4	0	3	NA
16	8	5045.822583	5	4	0.15	4	0	2	NA
16	17	5229.910063	2	2.4	0.15	4	0	2	NA
17	16	5229.910063	2	2.4	0.15	4	0	2	NA
17	19	4823.950831	2	2.4	0.15	4	0	2	NA
19	15	14564.75315	3	3.6	0.15	4	0	2	NA
19	17	4823.950831	2	2.4	0.15	4	0	2	NA
21	22	5229.910063	2	2.4	0.15	4	0	3	NA
22	15	9599.180565	3	3.6	0.15	4	0	3	NA
22	21	5229.910063	2	2.4	0.15	4	0	3	NA
23	14	4924.790605	4	4.8	0.15	4	0	2	NA
