tailNode	headNode	UE_flow
1	2	4271.4285714285725
1	3	7840.259740259741
2	1	4306.493506493505
2	6	5918.181818181817
3	1	7805.194805194803
3	4	13676.623376623376
3	12	9823.376623376618
4	3	13684.415584415585
4	5	17754.545454545456
4	11	5223.376623376624
5	4	17759.740259740247
5	6	8770.129870129875
5	9	15566.233766233769
6	2	5953.246753246755
6	5	8802.5974025974
6	8	12322.077922077922
7	8	11863.636363636362
7	18	15497.402597402604
8	6	12389.61038961039
8	7	11944.155844155845
8	9	6714.285714285714
8	16	8231.168831168832
9	5	15538.961038961035
9	8	6764.935064935065
9	10	21522.077922077922
10	9	21644.155844155848
10	11	17536.363636363643
10	15	22816.883116883106
10	16	10972.72727272727
10	17	7916.883116883115
11	4	5324.675324675325
11	10	17349.350649350657
11	12	8359.740259740265
11	14	9728.571428571428
12	3	9780.519480519477
12	11	8375.324675324675
12	13	12235.064935064936
13	12	12306.49350649351
13	24	11016.883116883115
14	11	9725.974025974025
14	15	9027.272727272722
14	23	8311.68831168831
15	10	22929.870129870145
15	14	8971.428571428565
15	19	18842.857142857138
15	22	18315.584415584413
16	8	8328.571428571428
16	10	10988.311688311687
16	17	11601.298701298701
16	18	14966.233766233765
17	10	7998.701298701297
17	16	11567.532467532472
17	19	9896.103896103903
18	7	15416.883116883118
18	16	15112.987012987016
18	20	18785.714285714286
19	15	18863.636363636375
19	17	9944.15584415584
19	20	8635.064935064933
20	18	18753.24675324675
20	19	8703.896103896102
20	21	6253.2467532467535
20	22	6998.7012987012995
21	20	6180.51948051948
21	22	8559.740259740263
21	24	10190.909090909094
22	15	18253.246753246753
22	20	7009.090909090912
22	21	8581.818181818184
22	23	9518.181818181823
23	14	8364.935064935067
23	22	9488.311688311684
23	24	7815.584415584416
24	13	10989.610389610387
24	21	10096.103896103903
24	23	7838.961038961039
