origin	dest	type	capacity	length	fft	alpha	beta	speedLimit
1	2		25900.20064	6	6	0.15	4	0
1	3	Auto	23403.47319	4	4	0.15	4	0
2	1	Auto	25900.20064	6	6	0.15	4	0
2	6	Auto	4958.180928	5	5	0.15	4	0
3	1	Auto	23403.47319	4	4	0.15	4	0
3	4	Auto	17110.52372	4	4	0.15	4	0
3	12	Auto	23403.47319	4	4	0.15	4	0
4	3	Auto	17110.52372	4	4	0.15	4	0
4	5	Auto	17782.7941	2	2	0.15	4	0
4	11	Auto	4908.82673	6	6	0.15	4	0
5	4	Auto	17782.7941	2	2	0.15	4	0
5	6	Auto	4947.995469	4	4	0.15	4	0
5	9	Auto	10000	5	5	0.15	4	0
6	2	Auto	4958.180928	5	5	0.15	4	0
6	5	Auto	4947.995469	4	4	0.15	4	0
6	8	Auto	4898.587646	2	2	0.15	4	0
7	8	Auto	7841.81131	3	3	0.15	4	0
7	18	Auto	23403.47319	2	2	0.15	4	0
8	6	Auto	4898.587646	2	2	0.15	4	0
8	7	Auto	7841.81131	3	3	0.15	4	0
8	9	Auto	5050.193156	10	10	0.15	4	0
8	16	Auto	5045.822583	5	5	0.15	4	0
9	5	Auto	10000	5	5	0.15	4	0
9	8	Auto	5050.193156	10	10	0.15	4	0
9	10	Auto	13915.78842	3	3	0.15	4	0
10	9	Auto	13915.78842	3	3	0.15	4	0
10	11	Auto	10000	5	5	0.15	4	0
10	15	Auto	13512.00155	6	6	0.15	4	0
10	16	Auto	4854.917717	4	4	0.15	4	0
10	17	Auto	4993.510694	8	8	0.15	4	0
11	4	Auto	4908.82673	6	6	0.15	4	0
11	10	Auto	10000	5	5	0.15	4	0
11	12	Auto	4908.82673	6	6	0.15	4	0
11	14	Auto	4876.508287	4	4	0.15	4	0
12	3	Auto	23403.47319	4	4	0.15	4	0
12	11	Auto	4908.82673	6	6	0.15	4	0
12	13	Auto	25900.20064	3	3	0.15	4	0
13	12	Auto	25900.20064	3	3	0.15	4	0
13	24	Auto	5091.256152	4	4	0.15	4	0
14	11	Auto	4876.508287	4	4	0.15	4	0
14	15	Auto	5127.526119	5	5	0.15	4	0
14	23	Auto	4924.790605	4	4	0.15	4	0
15	10	Auto	13512.00155	6	6	0.15	4	0
15	14	Auto	5127.526119	5	5	0.15	4	0
15	19	Auto	14564.75315	3	3	0.15	4	0
15	22	Auto	9599.180565	3	3	0.15	4	0
16	8	Auto	5045.822583	5	5	0.15	4	0
16	10	Auto	4854.917717	4	4	0.15	4	0
16	17	Auto	5229.910063	2	2	0.15	4	0
16	18	Auto	19679.89671	3	3	0.15	4	0
17	10	Auto	4993.510694	8	8	0.15	4	0
17	16	Auto	5229.910063	2	2	0.15	4	0
17	19	Auto	4823.950831	2	2	0.15	4	0
18	7	Auto	23403.47319	2	2	0.15	4	0
18	16	Auto	19679.89671	3	3	0.15	4	0
18	20	Auto	23403.47319	4	4	0.15	4	0
19	15	Auto	14564.75315	3	3	0.15	4	0
19	17	Auto	4823.950831	2	2	0.15	4	0
19	20	Auto	5002.607563	4	4	0.15	4	0
20	18	Auto	23403.47319	4	4	0.15	4	0
20	19	Auto	5002.607563	4	4	0.15	4	0
20	21	Auto	5059.91234	6	6	0.15	4	0
20	22	Auto	5075.697193	5	5	0.15	4	0
21	20	Auto	5059.91234	6	6	0.15	4	0
21	22	Auto	5229.910063	2	2	0.15	4	0
21	24	Auto	4885.357564	3	3	0.15	4	0
22	15	Auto	9599.180565	3	3	0.15	4	0
22	20	Auto	5075.697193	5	5	0.15	4	0
22	21	Auto	5229.910063	2	2	0.15	4	0
22	23	Auto	5000	4	4	0.15	4	0
23	14	Auto	4924.790605	4	4	0.15	4	0
23	22	Auto	5000	4	4	0.15	4	0
23	24	Auto	5078.508436	2	2	0.15	4	0
24	13	Auto	5091.256152	4	4	0.15	4	0
24	21	Auto	4885.357564	3	3	0.15	4	0
24	23	Auto	5078.508436	2	2	0.15	4	0
25	26	Transit	4924.790605	4	4	0.15	4	0
