tailNode	headNode	UE_flow
1	2	3984.108591240879
1	3	6251.877233576643
2	1	3218.5013941605844
2	6	6311.265379562051
3	1	7017.484430656936
3	4	15666.834313868623
3	12	8772.221729927007
4	3	13750.402678832124
4	5	16392.471481751836
4	11	3873.638175182483
5	4	14270.863503649638
5	6	7076.983036496354
5	9	7719.984335766427
6	2	5545.658182481751
6	5	6395.56687591241
6	8	6104.761343065697
7	8	8921.765379562046
7	18	12095.283839416063
8	6	11766.678131386865
8	7	10105.051372262778
8	9	5313.840861313869
8	16	5502.4442408759105
9	5	13994.984883211686
9	8	3600.9318540145987
9	10	16179.539014598542
10	9	16713.7111313869
10	11	14927.86424817519
10	15	20779.352087591236
10	16	9186.216532846718
10	17	6896.308452554749
11	4	6629.306277372268
11	10	13042.3225620438
11	12	7885.922970802924
11	14	9076.026627737227
12	3	11454.260781021905
12	11	7072.576109489055
12	13	11568.141832116795
13	12	12595.12491970803
13	24	9251.798087591234
14	11	8178.382321167893
14	15	6773.0350072992715
14	23	4467.986080291969
15	10	11626.392065693433
15	14	6250.051642335766
15	19	12762.03616058394
15	22	11056.106226277385
16	8	5814.62159124088
16	10	9696.751102189786
16	17	11788.942948905114
16	18	14125.689116788324
17	10	5351.15709489051
17	16	6061.812467153288
17	19	8001.956277372266
18	7	10911.997846715338
18	16	8794.020532846718
18	20	15307.135605839423
19	15	11483.621569343066
19	17	6863.61780291971
19	20	5656.548065693433
20	18	8692.910350364977
20	19	8780.781153284664
20	21	5588.166518248176
20	22	7985.360547445255
21	20	4778.2917883211685
21	22	10035.820357664228
21	24	8656.981919708041
22	15	13618.29322627738
22	20	5205.973459854015
22	21	5590.863262773728
22	23	7182.6838613138725
23	14	7411.234160583946
23	22	8404.6786350365
23	24	7735.764474452558
24	13	10179.511102189792
24	21	7675.285481751824
24	23	7690.477905109494
